Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,35749.0,36051.0,35042.0,35833.0,27508.85546875,202172
2018-01-03,36025.0,37499.0,35435.0,37100.0,28481.51953125,290831
2018-01-04,37499.0,37499.0,36546.0,37100.0,28481.51953125,206174
2018-01-05,37100.0,38498.0,37100.0,38177.0,29308.3359375,204258
2018-01-08,38600.0,38600.0,37140.0,38344.0,29436.544921875,187058
2018-01-09,38000.0,38299.0,37629.0,37997.0,29170.1484375,124565
2018-01-10,37997.0,38700.0,37600.0,37884.0,29083.40234375,176784
2018-01-11,37448.0,37984.0,37100.0,37590.0,28857.6953125,152748
2018-01-12,37301.0,38081.0,37301.0,37601.0,28866.14453125,168746
2018-01-15,37750.0,38335.0,37461.0,38051.0,29211.607421875,208883
2018-01-16,37610.0,38292.0,37225.0,37681.0,28927.55859375,170089
2018-01-17,37355.0,38194.0,37350.0,37800.0,29018.9140625,203978
2018-01-18,37993.0,38087.0,36158.0,37499.0,28787.8359375,261409
2018-01-19,37250.0,37900.0,36599.0,37772.0,28997.421875,111010
2018-01-22,38200.0,38200.0,36255.0,37525.0,28807.798828125,182768
2018-01-23,37322.0,37824.0,36834.0,37471.0,28766.337890625,147141
2018-01-24,37125.0,37699.0,36600.0,36948.0,28364.833984375,218737
2018-01-25,36948.0,37693.0,35747.0,36600.0,28097.6796875,346444
2018-01-26,36900.0,37000.0,36494.0,36600.0,28097.6796875,306824
2018-01-29,36300.0,36587.0,35580.0,35910.0,27567.96484375,187313
2018-01-30,35899.0,36001.0,34284.0,35619.0,27344.572265625,169099
2018-01-31,35000.0,35970.0,35000.0,35500.0,27253.21484375,280788
2018-02-01,35300.0,36521.0,35300.0,36292.0,27861.2265625,199562
2018-02-02,36001.0,36303.0,35520.0,35690.0,27399.080078125,128873
2018-02-05,35520.0,35520.0,33098.0,33363.0,25612.6484375,173237
2018-02-06,33300.0,34850.0,32100.0,33412.0,25650.263671875,281371
2018-02-07,33400.0,33822.0,32911.0,33300.0,25564.283203125,284957
2018-02-08,34280.0,34290.0,32201.0,32204.0,24722.888671875,263093
2018-02-09,32200.0,32395.0,31430.0,31583.0,24246.146484375,235973
2018-02-12,31380.0,32241.0,31107.0,32102.0,24644.58203125,192837
2018-02-13,32005.0,33454.0,31514.0,32690.0,25095.986328125,252355
2018-02-14,33100.0,33100.0,32147.0,32627.0,25047.62109375,102981
2018-02-15,33530.0,34345.0,32711.0,33632.0,25819.158203125,115017
2018-02-16,34300.0,34533.0,34017.0,34428.0,26430.244140625,126933
2018-02-19,34845.0,36196.0,34428.0,35353.0,27140.361328125,391424
2018-02-20,35354.0,35799.0,35201.0,35780.0,27468.16796875,298747
2018-02-21,36005.0,36496.0,35632.0,36183.0,27777.546875,352873
2018-02-22,35700.0,36699.0,35700.0,35900.0,27560.29296875,238089
2018-02-23,36381.0,38000.0,36237.0,36550.0,28059.291015625,492413
2018-02-26,36103.0,37600.0,36103.0,36818.0,28265.04296875,213523
2018-02-27,36601.0,37218.0,36488.0,36666.0,28148.34765625,336248
2018-02-28,36408.0,36642.0,36028.0,36579.0,28081.5625,284953
2018-03-01,36700.0,36800.0,35958.0,36267.0,27842.037109375,220052
2018-03-02,36000.0,36500.0,35303.0,35900.0,27560.29296875,216308
2018-03-05,36299.0,36299.0,35300.0,35891.0,27553.384765625,265816
2018-03-06,35500.0,36500.0,35355.0,36390.0,27936.4609375,408877
2018-03-07,36368.0,36382.0,35404.0,36113.0,27992.2734375,152112
2018-03-08,35750.0,36349.0,35498.0,35841.0,27781.439453125,139579
2018-03-09,36100.0,36100.0,35008.0,35479.0,27500.84375,519988
2018-03-12,35150.0,35894.0,34889.0,35200.0,27284.576171875,267046
2018-03-13,35000.0,35721.0,34333.0,35375.0,27420.2265625,306130
2018-03-14,35375.0,35847.0,34713.0,35000.0,27129.55859375,309079
2018-03-15,34611.0,35699.0,34583.0,34912.0,27061.34375,235167
2018-03-16,34630.0,34670.0,33703.0,33900.0,26276.91015625,258531
2018-03-19,33880.0,34379.0,33880.0,34100.0,26431.935546875,195484
2018-03-20,34156.0,34191.0,33754.0,34000.0,26354.423828125,421772
2018-03-22,34050.0,34699.0,33721.0,33919.0,26291.63671875,187765
2018-03-23,33900.0,34161.0,32300.0,33893.0,26271.486328125,228822
2018-03-26,33300.0,33861.0,31305.0,31985.0,24792.533203125,445161
2018-03-27,32400.0,33587.0,32000.0,32250.0,24997.9453125,308805
2018-03-28,31853.0,32497.0,31153.0,31786.0,24638.287109375,263783
2018-03-29,31741.0,32994.0,31300.0,32400.0,25114.21484375,236419
2018-04-03,32321.0,32650.0,31576.0,31739.0,24601.85546875,279762
2018-04-04,32000.0,32199.0,30100.0,31769.0,24625.109375,253253
2018-04-05,31924.0,32412.0,31200.0,31891.0,24719.673828125,104074
2018-04-06,32089.0,32911.0,31774.0,32379.0,25097.94140625,110026
2018-04-09,32900.0,32900.0,31776.0,32322.0,25053.75390625,140020
2018-04-10,32500.0,32950.0,32263.0,32500.0,25191.7265625,232042
2018-04-11,33100.0,33100.0,30280.0,31182.0,24170.107421875,305912
2018-04-12,30837.0,31334.0,30481.0,30655.0,23761.61328125,157305
2018-04-13,30418.0,31350.0,29880.0,31203.0,24186.384765625,165025
2018-04-16,31394.0,31395.0,30555.0,30600.0,23718.98046875,212049
